Feature,Importance
Total_Vol,0.2653507927805976
Green_to_Demand_EW,0.25358721930760125
EW_Vol,0.19673905251311744
Green_EW,0.08405182757754598
Ped_Load,0.07365646857974553
NS_Vol,0.07319646736332051
EW_to_NS,0.05341817187807176
Period_Numeric,0.0
