,Good_Scenario_Avg,Bad_Scenario_Avg,Pct_Difference
Green_to_Demand_EW,0.19996818643108075,0.09188405494382096,117.63099871173921
EW_Vol,256.12708333333336,690.8875,-62.92781627496035
Total_Vol,574.3809523809524,1117.8333333333335,-48.61658395279985
Ped_Load,47.871428571428574,85.8,-44.205794205794206
EW_to_NS,2.3264470263252197,1.6193373842468093,43.66660394290244
NS_Vol,318.25386904761905,426.9458333333333,-25.45802202520951
Green_EW,47.96875,64.0625,-25.121951219512194
Period_Numeric,0.39285714285714285,0.5,-21.42857142857143
Cluster_Source,0.7857142857142857,1.0,
Good_Scenario,1.0,0.0,
High_Delay_Prob,0.025694466495805784,0.6318975013473365,
