,Peak_Ratio,Direction_Balance,AM_PM_Diff,AM_Peak_Ratio,PM_Peak_Ratio,ADT_1314,Heavy_1314,PkAM_1314,PkPM_1314
Peak_Ratio,1.0,0.23392204006147432,0.41376005441752833,-0.7620799061829704,0.3715412160122712,-0.11145559917972946,-0.08728445836648648,-0.2925057410499302,-0.09223615833880465
Direction_Balance,0.23392204006147432,1.0,0.15269592219783282,-0.126387139466201,-0.057837554467270416,0.11884186289620749,0.24189030504523154,0.10924812523888987,0.1296954169636509
AM_PM_Diff,0.41376005441752833,0.15269592219783282,1.0,-0.5690593385228521,-0.008592020102570071,0.7940272050175964,0.3281817249458586,0.6672792633793797,0.8115746159613783
AM_Peak_Ratio,-0.7620799061829704,-0.126387139466201,-0.5690593385228521,1.0,0.04648883828580756,-0.1406981377522576,0.06988347122672309,0.08014186856163362,-0.1271688747732204
PM_Peak_Ratio,0.3715412160122712,-0.057837554467270416,-0.008592020102570071,0.04648883828580756,1.0,-0.2628717942594218,0.02959224236355539,-0.2270007650674642,-0.1818698187235938
ADT_1314,-0.11145559917972946,0.11884186289620749,0.7940272050175964,-0.1406981377522576,-0.2628717942594218,1.0,0.3975557414825328,0.9752308324252069,0.9937915204159412
Heavy_1314,-0.08728445836648648,0.24189030504523154,0.3281817249458586,0.06988347122672309,0.02959224236355539,0.3975557414825328,1.0,0.4141297747202617,0.41941817424719335
PkAM_1314,-0.2925057410499302,0.10924812523888987,0.6672792633793797,0.08014186856163362,-0.2270007650674642,0.9752308324252069,0.4141297747202617,1.0,0.9766998565193731
PkPM_1314,-0.09223615833880465,0.1296954169636509,0.8115746159613783,-0.1271688747732204,-0.1818698187235938,0.9937915204159412,0.41941817424719335,0.9766998565193731,1.0
