,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
Total_Vol,72.0,763.2638888888889,232.78697225632962,427.0,607.0,720.5,882.0,1392.0,0,0.0
EW_Vol,72.0,356.3888888888889,200.86247523943197,61.0,232.25,310.0,435.75,925.0,0,0.0
NS_Vol,72.0,406.875,174.13649636476893,28.0,393.0,457.0,519.5,646.0,0,0.0
EW_to_NS,72.0,2.279306383519992,3.7717453961588117,0.11172161172161173,0.5281593687395233,0.636011888823435,1.5868803886876175,16.607142857142858,0,0.0
Green_EW,72.0,44.583333333333336,12.706048243723576,30.0,35.0,40.0,60.0,62.5,0,0.0
Green_to_Demand_EW,72.0,0.16063548138771952,0.09230969631589252,0.06756756756756757,0.09675191587952237,0.11417906124036782,0.22002734107997265,0.4918032786885246,0,0.0
Delay_s_veh,72.0,40.3111111111111,19.234092059143137,13.3,28.1,39.849999999999994,49.8,91.0,0,0.0
Ped_Load,72.0,56.0,17.099542865152365,39.0,40.0,53.5,62.0,88.0,0,0.0
