Cluster,ADT_1314,Peak_Ratio
0,1208.4,2.5987835201292895
1,7942.103448275862,1.1985418773361995
2,2451.3818181818183,1.0127151649278996
3,3133.9591836734694,1.7576045955178328
4,15402.75,1.3706822814421478
