the_geom,Count_Type,Station,STREET,BLOCK,ADT_2016,ADT_2015,ADT_2014,ADT_2013,ADT_2012,ADT_2011,ADT_2010,ADT_2009,ADT_2008,ADT_2007,ADT_2006,ADT_2005,ADT_2004,ADT_2003,ADT_2002,ADT_2001,ADT_2000,D1_1314,D2_1314,ADT_1314,DlyD1_1314,DlyD2_1314,Heavy_1314,PkAM_1314,AMD1_1314,AMD2_1314,PkPM_1314,PMD1_1314,PMD2_1314,D1_1112,D2_1112,ADT_1112,DlyD1_1112,DlyD2_1112,Heavy_1112,PkAM_1112,AMD1_1112,AMD2_1112,PkPM_1112,PMD1_1112,PMD2_1112
POINT (-82.38777627141579 29.676881461561795),CI,2109,NW 25TH PL,4200,0,0,1782,0,2197,0,0,0,3378,0,0,1829,0,0,3475,0,0,Eastbound,Westbound,1782,0.493266,0.506734,0.26936,140,0.642857,0.357143,199,0.41206,0.58794,Westbound,Eastbound,2197.0,0.57624,0.42376,0.04,171,0.573099,0.426901,80,0.675,0.325
POINT (-82.38779579768925 29.679508661526047),CI,2110,NW 28TH LN,4200,0,0,2552,0,2261,0,0,0,2894,0,0,2865,0,0,2729,0,0,Eastbound,Westbound,2552,0.342868,0.657132,0.309169,157,0.484076,0.515924,321,0.286604,0.713396,Westbound,Eastbound,2261.0,0.636886,0.363114,0.04,129,0.697674,0.302326,75,0.586667,0.413333
POINT (-82.40640319593078 29.657756065390416),CI,2119,NW 60TH ST,700,0,0,0,4616,0,4854,0,0,3557,0,0,5534,0,0,2449,0,0,Northbound,Southbound,4616,0.586872,0.413128,0.041594,356,0.657303,0.342697,375,0.653333,0.346667,Southbound,Northbound,4854.0,0.413267,0.586733,0.06,265,0.369811,0.630189,418,0.318182,0.681818
POINT (-82.34879401895046 29.677565660145497),CI,2120,NW 23RD BV,2700,0,0,7307,0,7302,0,0,0,0,8046,0,0,11219,0,0,11921,0,Northbound,Southbound,7307,0.548515,0.451485,0.088545,740,0.317568,0.682432,779,0.664955,0.335045,Westbound,Eastbound,7302.0,0.517529,0.482471,0.05,703,0.250356,0.749644,739,0.65088,0.34912
POINT (-82.35603102618732 29.681300357841582),CI,2121,NW 31ST AV,2300,0,0,6182,0,5680,0,0,0,0,5463,0,0,7475,0,0,7312,0,Eastbound,Westbound,6182,0.483177,0.516823,0.038175,629,0.604134,0.395866,615,0.40813,0.59187,Westbound,Eastbound,5680.0,0.521831,0.478169,0.04,572,0.328671,0.671329,560,0.6125,0.3875
POINT (-82.37004136076908 29.68205218869196),CI,2122,NW 31ST BV,3100,0,0,6444,0,6110,0,0,0,0,4241,0,0,7878,0,0,7682,0,Northbound,Southbound,6444,0.512259,0.487741,0.047486,625,0.4768,0.5232,596,0.553691,0.446309,Westbound,Eastbound,6110.0,0.523241,0.476759,0.06,628,0.469745,0.530255,563,0.573712,0.426288
POINT (-82.32157451342955 29.65928103798052),CI,3000,NE 8TH AV,400,0,0,0,9449,0,10349,0,0,11469,0,0,10425,0,0,7299,0,0,Eastbound,Westbound,9449,0.501005,0.498995,0.329453,833,0.617047,0.382953,902,0.453437,0.546563,Eastbound,Westbound,10349.0,0.502561,0.497439,0.05,835,0.373653,0.626347,965,0.563731,0.436269
POINT (-82.31561551977246 29.66077947549866),CI,3003,NE 10TH AV,800,0,0,415,0,462,0,0,0,0,0,0,0,0,0,0,0,0,Eastbound,Westbound,415,0.684337,0.315663,0.040964,18,0.666667,0.333333,46,0.73913,0.26087,Eastbound,Westbound,462.0,0.683983,0.316017,0.04,22,0.681818,0.318182,59,0.762712,0.237288
POINT (-82.32182664639902 29.667831632636506),CI,3004,NE 2ND ST,1600,0,0,1866,0,2132,0,0,0,0,1918,0,0,2012,0,0,739,0,Northbound,Southbound,1866,0.454448,0.545552,0.124866,159,0.471698,0.528302,146,0.40411,0.59589,Northbound,Southbound,2132.0,0.472795,0.527205,0.07,208,0.451923,0.548077,193,0.471503,0.528497
POINT (-82.31960274000043 29.65495530773968),CI,3006,NE BOULEVARD,400,0,0,390,0,356,0,0,361,0,0,416,0,0,395,0,0,614,Northbound,Southbound,390,0.487179,0.512821,0.033333,26,0.346154,0.653846,43,0.627907,0.372093,Northbound,Southbound,356.0,0.488764,0.511236,0.08,27,0.111111,0.888889,41,0.463415,0.536585
POINT (-82.31447228435795 29.677564092627478),CI,3008,NE 28TH AV,900,0,0,1380,0,1562,0,0,0,0,0,0,0,0,0,0,0,0,Eastbound,Westbound,1380,0.502899,0.497101,0.065217,99,0.383838,0.616162,119,0.647059,0.352941,Eastbound,Westbound,1562.0,0.512164,0.487836,0.06,110,0.372727,0.627273,142,0.521127,0.478873
POINT (-82.31740721908048 29.66128582914609),CI,3009,NE 7TH ST,1000,0,0,648,0,646,0,0,0,865,0,0,945,0,0,1018,0,0,Northbound,Southbound,648,0.540123,0.459877,0.063272,51,0.333333,0.666667,69,0.666667,0.333333,Northbound,Southbound,646.0,0.543344,0.456656,0.04,60,0.266667,0.733333,79,0.708861,0.291139
POINT (-82.3168878548681 29.681410627246766),CI,3010,NE 31ST AV,700,0,0,1452,0,1635,0,0,0,1783,0,0,1812,0,0,2089,0,0,Eastbound,Westbound,1452,0.529614,0.470386,0.080579,112,0.419643,0.580357,126,0.563492,0.436508,Eastbound,Westbound,1635.0,0.458716,0.541284,0.14,89,0.337079,0.662921,151,0.470199,0.529801
POINT (-82.3173667095134 29.669963327904732),CI,3011,NE 7TH ST,1900,0,0,322,0,330,0,0,0,0,0,0,0,0,0,0,0,0,Northbound,Southbound,322,0.540373,0.459627,0.046584,36,0.527778,0.472222,34,0.617647,0.382353,Northbound,Southbound,330.0,0.5,0.5,0.01,32,0.34375,0.65625,30,0.6,0.4
POINT (-82.30365761197261 29.68139585091003),CI,3012,NE 31ST AV,1600,0,0,1564,0,2061,0,0,0,0,0,2475,0,0,2835,0,0,2993,Eastbound,Westbound,1564,0.319054,0.680946,0.110614,148,0.452703,0.547297,192,0.265625,0.734375,Westbound,Eastbound,2061.0,0.55313,0.44687,0.1,145,0.565517,0.434483,181,0.629834,0.370166
POINT (-82.31477727732512 29.65744139246861),CI,3013,NE 9TH ST,600,0,0,5481,0,5421,0,0,0,6086,0,0,5965,0,0,5595,0,0,Southbound,Northbound,5481,0.527458,0.472542,0.07006,467,0.550321,0.449679,553,0.0,0.0,Northbound,Southbound,5421.0,0.520015,0.479985,0.05,497,0.521127,0.478873,517,0.512573,0.487427
POINT (-82.30580406901224 29.683063580990442),CI,3015,NE 15TH ST,3100,0,0,11,0,5396,0,0,0,0,0,5761,0,0,6286,0,0,5564,Northbound,Southbound,11,1.0,0.0,0.181818,1,1.0,0.0,0,0.0,0.0,Northbound,Southbound,5396.0,0.491105,0.508895,0.07,501,0.457086,0.542914,539,0.517625,0.482375
POINT (-82.3147675197387 29.669749292664),CI,3016,NE 9TH ST,1900,0,0,3752,0,4062,0,4457,0,0,4863,0,0,4749,0,0,4645,0,Northbound,Southbound,3752,0.513859,0.486141,0.021055,390,0.582051,0.417949,354,0.40113,0.59887,Northbound,Southbound,4062.0,0.508863,0.491137,0.05,346,0.407514,0.592486,384,0.546875,0.453125
POINT (-82.31479975025705 29.674212571393948),CI,3017,NE 9TH ST,2300,0,0,2288,0,2423,0,2406,0,0,2999,0,0,3598,0,0,3309,0,Northbound,Southbound,2288,0.452797,0.547203,0.094406,204,0.392157,0.607843,226,0.522124,0.477876,Northbound,Southbound,2423.0,0.553859,0.446141,0.05,206,0.461165,0.538835,243,0.576132,0.423868
POINT (-82.30583913755491 29.652484042732848),CI,3018,NE 15TH ST,0,0,0,3568,0,3873,0,0,0,4967,0,0,4944,0,0,5047,0,0,Southbound,Northbound,3568,0.477859,0.522141,0.077074,238,0.466387,0.533613,306,0.464052,0.535948,Northbound,Southbound,3873.0,0.488768,0.511232,0.09,296,0.456081,0.543919,288,0.524306,0.475694
POINT (-82.30584813224148 29.668976429606293),CI,3019,NE 15TH ST,1800,0,0,3168,0,3422,0,4043,0,0,4118,0,0,3811,0,0,3624,0,Northbound,Southbound,3168,0.470013,0.529987,0.101957,205,0.395122,0.604878,280,0.507143,0.492857,Northbound,Southbound,3422.0,0.439509,0.560491,0.06,254,0.358268,0.641732,303,0.438944,0.561056
POINT (-82.29230678160911 29.65737237841531),CI,3020,NE 25TH ST,600,0,0,5828,0,4142,0,4900,0,0,3848,0,0,3272,0,0,3187,0,Northbound,Southbound,5828,0.561771,0.438229,0.036548,420,0.611905,0.388095,554,0.555957,0.444043,Northbound,Southbound,4142.0,0.443988,0.556012,0.09,285,0.442105,0.557895,368,0.442935,0.557065
POINT (-82.32278348495672 29.65333630131199),CI,3022,NE 2ND AV,200,0,0,0,0,16,0,0,0,0,2148,0,0,1711,0,0,2156,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,16.0,0.5625,0.4375,0.0,1,0.0,0.0,2,0.0,0.0
POINT (-82.3239713846038 29.65501253877602),CI,3025,NE 1ST ST,400,0,0,0,0,24,0,0,0,0,3120,0,0,2996,0,0,2608,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,24.0,0.5,0.5,0.0,3,0.333333,0.666667,4,0.0,1.0
POINT (-82.32239204008054 29.65233430551271),CI,3026,NE 3RD ST,0,0,0,0,0,1701,0,0,0,2008,0,0,898,0,0,1943,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1701.0,0.539683,0.460317,0.07,135,0.414815,0.585185,206,0.616505,0.383495
POINT (-82.3057451894602 29.691694429508274),CI,3031,NE 15TH ST,4100,0,0,2646,0,2918,0,0,0,9383,0,0,3387,0,0,4828,0,0,Northbound,Southbound,2646,0.503023,0.496977,0.395692,262,0.312977,0.687023,276,0.626812,0.373188,Northbound,Southbound,2918.0,0.520562,0.479438,0.07,306,0.326797,0.673203,273,0.582418,0.417582
POINT (-82.32473904489231 29.65270489691562),CI,3032,NE 1ST AV,0,0,0,0,0,360,0,0,0,0,627,0,0,554,0,0,510,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,,360.0,0.977778,0.022222,0.03,25,0.96,0.04,32,1.0,0.0
POINT (-82.3247445520358 29.654689783017602),CI,3033,NE 4TH AV,0,0,0,0,0,696,0,0,0,0,1055,0,0,1093,0,0,1271,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,696.0,0.409483,0.590517,0.05,50,0.52,0.48,82,0.329268,0.670732
POINT (-82.3225003461441 29.688732367349008),CI,3034,NE 2ND WAY,3900,0,0,0,0,1287,0,2041,0,0,1806,0,0,1308,0,0,2072,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1287.0,0.495726,0.504274,0.09,80,0.4375,0.5625,110,0.554545,0.445455
POINT (-82.32230969470022 29.68651738430678),CI,3035,NE 2ND ST,3800,0,0,1163,0,813,0,1256,0,0,1044,0,0,899,0,0,1093,0,Northbound,Southbound,1163,0.474635,0.525365,0.1092,85,0.341176,0.658824,141,0.574468,0.425532,Northbound,Southbound,813.0,0.467405,0.532595,0.09,63,0.285714,0.714286,68,0.617647,0.382353
POINT (-82.330839854936 29.642358744948673),CI,4001,SW 6TH ST,1000,0,0,0,3686,0,7128,0,0,5889,0,0,6634,0,0,7016,0,0,Northbound,,3686,1.0,0.0,0.071894,318,1.0,0.0,456,1.0,0.0,Northbound,Southbound,7128.5,0.475696,0.524304,0.1,540,0.498148,0.501852,718,0.512535,0.487465
POINT (-82.3313031239218 29.646455041537994),CI,4002,SW 6TH ST,600,0,0,0,6951,0,8495,0,0,6074,0,0,6804,0,0,7332,0,0,Northbound,Southbound,6951,0.483959,0.516041,0.044886,619,0.478191,0.521809,772,0.546632,0.453368,Northbound,Southbound,8495.0,0.502178,0.497822,0.04,685,0.494891,0.505109,821,0.552984,0.447016
POINT (-82.32999427664481 29.648311992708454),CI,4007,SW 4TH AV,500,0,0,3951,0,3360,0,0,5128,0,0,4367,0,0,4796,0,0,5217,Eastbound,Westbound,3951,0.481397,0.518603,0.074918,231,0.324675,0.675325,389,0.521851,0.478149,Westbound,Eastbound,3360.0,0.545238,0.454762,0.06,227,0.740088,0.259912,336,0.46131,0.53869
POINT (-82.32526865249885 29.648390268541082),CI,4008,SW 4TH AV,0,0,0,3544,0,3355,0,0,0,3998,0,0,5652,0,0,5410,0,0,Westbound,Eastbound,3544,0.489842,0.510158,0.067438,261,0.685824,0.314176,352,0.428977,0.571023,Westbound,Eastbound,3355.0,0.520715,0.479285,0.08,257,0.723735,0.276265,331,0.36858,0.63142
POINT (-82.37653434090183 29.65132818776924),CI,4010,SW 36TH ST,100,0,0,0,0,583,0,824,0,0,1699,0,0,590,0,0,942,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,583.0,0.554031,0.445969,0.07,31,0.290323,0.709677,62,0.645161,0.354839
POINT (-82.33714695187439 29.650970648426174),CI,4011,SW 12TH ST,100,0,0,0,4387,0,4511,0,0,5682,0,0,5640,0,0,5520,0,0,Northbound,Southbound,4387,0.468885,0.531115,0.011397,224,0.348214,0.651786,441,0.507937,0.492063,Northbound,Southbound,4511.0,0.455996,0.544004,0.04,243,0.325103,0.674897,428,0.525701,0.474299
POINT (-82.33504094070715 29.650935731223814),CI,4012,SW 10TH ST,100,0,0,0,3585,0,4054,0,5178,0,0,4452,0,0,4528,0,0,4248,Southbound,Northbound,3585,0.454393,0.545607,0.032078,179,0.558659,0.441341,354,0.384181,0.615819,Northbound,Southbound,4054.0,0.537494,0.462506,,210,0.47619,0.52381,381,0.616798,0.383202
POINT (-82.33730329626339 29.64492680600605),CI,4013,SW 8TH AV,1200,0,0,0,7763,0,5505,0,6360,0,0,8853,0,0,9633,0,0,10499,Westbound,Eastbound,7763,0.548757,0.451243,0.038902,414,0.719807,0.280193,626,0.495208,0.504792,Eastbound,Westbound,5505.0,0.582561,0.417439,0.01,432,0.599537,0.400463,488,0.540984,0.459016
POINT (-82.34293968584787 29.637519319294597),CI,4014,SW 16TH ST,1400,0,0,0,4111,0,4444,4625,0,3878,4413,0,0,5892,0,0,4837,0,Southbound,Northbound,4111,0.604476,0.395524,0.155193,400,0.62,0.38,401,0.63591,0.36409,Northbound,Southbound,4444.0,0.502475,0.497525,0.12,414,0.541063,0.458937,425,0.489412,0.510588
POINT (-82.33415313068517 29.65024187266962),CI,4015,SW 2ND AV,900,0,0,0,6604,0,6968,0,0,5608,0,0,6632,0,0,7541,0,0,Eastbound,Westbound,6604,0.427922,0.572078,0.061932,349,0.415473,0.584527,609,0.440066,0.559934,Eastbound,Westbound,6968.0,0.429248,0.570752,0.04,379,0.395778,0.604222,602,0.445183,0.554817
POINT (-82.33504285773319 29.64738676818085),CI,4016,SW 10TH ST,500,0,0,0,3650,0,3457,0,0,2069,0,0,4440,0,0,4185,0,0,Northbound,Southbound,3650,0.510137,0.489863,0.066301,226,0.349558,0.650442,342,0.584795,0.415205,Northbound,Southbound,3457.0,0.548742,0.451258,0.01,198,0.409091,0.590909,363,0.674931,0.325069
POINT (-82.33708191086058 29.64826104456137),CI,4017,SW 12TH ST,400,0,0,0,5287,0,6327,0,0,8529,0,0,6647,0,0,5178,0,0,Northbound,Southbound,5287,0.491016,0.508984,0.030263,286,0.34965,0.65035,559,0.54025,0.45975,Northbound,Southbound,6327.0,0.499763,0.500237,0.09,360,0.358333,0.641667,694,0.579251,0.420749
POINT (-82.33143581799708 29.648334622860375),CI,4018,SW 4TH AV,600,0,0,4198,0,3297,0,0,0,4029,0,0,4730,0,0,5005,0,0,Westbound,Eastbound,4198,0.494998,0.505002,0.087661,250,0.668,0.332,435,0.43908,0.56092,Westbound,Eastbound,3297.0,0.528359,0.471641,0.07,244,0.733607,0.266393,364,0.414835,0.585165
POINT (-82.33381106097654 29.64751968048896),CI,4019,SW 5TH AV,900,0,0,0,708,0,567,0,0,0,0,0,0,0,0,0,0,0,Westbound,Eastbound,708,0.514124,0.485876,0.125706,45,0.422222,0.577778,79,0.594937,0.405063,Eastbound,Westbound,567.0,0.493827,0.506173,0.06,37,0.621622,0.378378,58,0.37931,0.62069
POINT (-82.33629175061623 29.643004098143578),CI,4020,SW 9TH RD,1100,0,0,0,5129,0,4385,0,4495,0,0,5064,0,0,4980,0,0,5614,Westbound,Eastbound,5129,0.496588,0.503412,0.057711,380,0.615789,0.384211,412,0.381068,0.618932,Eastbound,Westbound,4385.0,0.487799,0.512201,0.05,337,0.338279,0.661721,364,0.604396,0.395604
POINT (-82.32909942631777 29.643914301663642),CI,4022,SW DEPOT AV,400,0,0,0,4176,0,3535,0,1087,0,0,5237,0,0,5571,0,0,5217,Eastbound,Westbound,4176,0.526102,0.473898,0.135776,401,0.394015,0.605985,368,0.608696,0.391304,Westbound,Eastbound,3535.0,0.475248,0.524752,0.14,353,0.600567,0.399433,300,0.396667,0.603333
POINT (-82.39822058509348 29.641897687217302),CI,4029,SW 62ND BV,1100,0,0,0,18544,0,19845,21481,16083,0,22948,23085,20381,23840,22817,20322,16907,19522,Northbound,Southbound,18544,0.502157,0.497843,0.03489,1172,0.642491,0.357509,1619,0.438542,0.561458,Northbound,Southbound,19845.0,0.513026,0.486974,0.05,1134,0.66843,0.33157,1667,0.444511,0.555489
POINT (-82.33294332189861 29.651667677630048),CI,4031,SW 8TH ST,0,0,0,0,785,0,1104,0,0,946,0,0,1010,0,0,1245,0,0,Northbound,Southbound,785,0.405096,0.594904,0.049682,33,0.424242,0.575758,90,0.477778,0.522222,Northbound,Southbound,1104.0,0.462862,0.537138,0.02,59,0.305085,0.694915,133,0.616541,0.383459
POINT (-82.360505895694 29.6514915684933),CI,4035,SW 25TH ST,100,0,0,0,945,0,861,2006,0,0,1231,0,0,1159,0,0,900,0,Southbound,Northbound,945,0.439153,0.560847,0.173545,85,0.788235,0.211765,140,0.271429,0.728571,Northbound,Southbound,861.0,0.406504,0.593496,0.04,94,0.819149,0.180851,113,0.265487,0.734513
POINT (-82.3351522718826 29.64283698069221),CI,4036,SW DEPOT AV,1000,0,0,0,5579,0,4803,0,3080,0,0,5293,0,0,4650,0,0,5599,Eastbound,Westbound,5579,0.545438,0.454562,0.053773,500,0.42,0.58,542,0.675277,0.324723,Westbound,Eastbound,4803.0,0.499271,0.500729,0.09,529,0.616257,0.383743,377,0.421751,0.578249
POINT (-82.33576618170767 29.644518828424996),CI,4037,SW 11TH ST,800,0,0,0,3391,0,3440,0,2013,0,0,3357,0,0,3147,0,0,4002,Southbound,Northbound,3391,0.360071,0.639929,0.048068,251,0.458167,0.541833,300,0.276667,0.723333,Southbound,Northbound,3440.0,0.396221,0.603779,0.05,333,0.417417,0.582583,323,0.328173,0.671827
POINT (-82.33590691408868 29.641425237455437),CI,4038,SW 11TH ST,1000,0,0,0,2561,0,2865,0,3118,0,0,2793,0,0,1710,0,0,1761,Southbound,Northbound,2561,0.467005,0.532995,0.052714,510,0.488235,0.511765,261,0.356322,0.643678,Southbound,Northbound,2865.0,0.467365,0.532635,0.03,684,0.495614,0.504386,245,0.44898,0.55102
POINT (-82.33970633115287 29.624251821577467),CI,4040,SW 14TH DR,1300,0,0,0,1623,0,1867,0,0,1536,0,0,1643,0,0,2203,0,0,Northbound,Southbound,1623,0.61183,0.38817,0.064079,76,0.644737,0.355263,178,0.679775,0.320225,Eastbound,Westbound,1867.0,0.390466,0.609534,0.01,155,0.354839,0.645161,204,0.47549,0.52451
POINT (-82.34469673764748 29.651879480262114),CI,4041,BUCKMAN DR,0,0,0,0,5466,0,4788,8329,0,0,5837,0,0,5956,0,0,5880,0,Northbound,Southbound,5466,0.479876,0.520124,0.036773,393,0.223919,0.776081,601,0.579035,0.420965,Southbound,Northbound,4788.0,0.628864,0.371136,0.07,376,0.731383,0.268617,433,0.621247,0.378753
POINT (-82.3462767307188 29.651882764079165),CI,4042,FLETCHER DR,0,0,0,0,2780,0,2441,4584,0,0,6384,0,0,6351,0,0,5547,0,Northbound,Southbound,2780,0.854676,0.145324,0.052158,128,0.765625,0.234375,245,0.853061,0.146939,Northbound,,2441.0,1.0,0.0,0.04,105,1.0,0.0,177,1.0,0.0
POINT (-82.3498007810479 29.651661151539297),CI,4043,GALE LEMERAND DR,0,0,0,0,9252,0,8494,4584,0,0,0,0,10816,0,0,11298,0,0,Northbound,Southbound,9252,0.483895,0.516105,0.058906,640,0.201563,0.798438,856,0.617991,0.382009,Northbound,Southbound,8494.0,0.475159,0.524841,0.03,660,0.192424,0.807576,732,0.617486,0.382514
POINT (-82.36033654683357 29.649244473947387),CI,4044,VILLAGE DRIVE,200,0,0,0,4972,0,7626,6199,0,0,6365,0,0,6790,0,0,6189,0,Northbound,Southbound,4972,0.490547,0.509453,0.048874,340,0.191176,0.808824,528,0.67803,0.32197,Southbound,Northbound,7626.0,0.381065,0.618935,0.02,784,0.540816,0.459184,714,0.289916,0.710084
POINT (-82.33960981158839 29.644858622613995),CI,4046,MUSEUM RD,1300,0,0,0,16122,0,11572,0,0,16170,0,0,13095,0,0,13653,0,0,Westbound,Eastbound,16122,0.409378,0.590622,0.03182,1136,0.507042,0.492958,1167,0.368466,0.631534,Westbound,Eastbound,11572.0,0.450743,0.549257,0.08,712,0.223315,0.776685,928,0.550647,0.449353
POINT (-82.34620666254717 29.638677641944756),CI,4048,CENTER DR AT ARCHER,0,0,0,0,7346,0,6698,6471,0,7162,1104,0,0,9460,0,0,9208,0,Southbound,Northbound,7346,0.490063,0.509937,0.073237,533,0.324578,0.675422,611,0.656301,0.343699,Northbound,Southbound,6698.0,0.483129,0.516871,0.07,460,0.708696,0.291304,535,0.392523,0.607477
POINT (-82.41373092173512 29.660479364681237),INACTIVE,2114,SUBWAY N NEWBERRY,0,0,0,0,0,0,0,2674,0,0,2480,0,0,4502,0,0,3014,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0
POINT (-82.34201180991926 29.640006409158993),CI,4049,NEWELL DR AT ARCHER,0,0,0,0,7988,0,4318,0,0,8419,0,0,5578,0,0,5423,0,0,Northbound,Southbound,7988,0.547071,0.452929,0.042313,662,0.593656,0.406344,621,0.436393,0.563607,Northbound,Southbound,4318.0,0.459704,0.540296,0.09,343,0.61516,0.38484,430,0.4,0.6
POINT (-82.3699097488313 29.64221787718829),CI,4050,RADIO RD,3300,0,0,0,5819,0,4922,0,7118,0,0,6679,0,0,6678,0,0,6270,Eastbound,Westbound,5819,0.476199,0.523801,0.088847,371,0.857143,0.142857,618,0.254045,0.745955,Westbound,Eastbound,4922.0,0.539212,0.460788,0.06,355,0.208451,0.791549,590,0.752542,0.247458
POINT (-82.36969002022475 29.63760950228879),CI,4051,HULL RD,3300,0,0,0,10662,0,11249,0,15016,0,0,14327,0,0,13714,0,0,11477,Eastbound,Westbound,10662,0.502439,0.497561,0.069781,715,0.802797,0.197203,1023,0.422287,0.577713,Eastbound,Westbound,11249.0,0.503423,0.496577,0.07,795,0.861635,0.138365,928,0.357759,0.642241
POINT (-82.33976690079098 29.650253931697254),CI,4056,UNION RD,1300,0,0,0,4081,0,4375,0,0,7382,0,0,7705,0,0,6827,0,0,Northbound,Southbound,4081,0.400147,0.599853,0.036756,314,0.22293,0.77707,444,0.436937,0.563063,Southbound,Northbound,4375.0,0.537829,0.462171,0.07,311,0.694534,0.305466,417,0.46283,0.53717
POINT (-82.33988782066496 29.647295905462112),CI,4057,INNER RD,1300,0,0,0,1282,0,1465,0,0,2539,0,0,3034,0,0,3077,0,0,Eastbound,,1282,1.0,0.0,0.056162,45,1.0,0.0,123,1.0,0.0,Northbound,,1465.0,1.0,0.0,0.02,44,1.0,0.0,94,1.0,0.0
POINT (-82.35023036428741 29.63725983686967),CI,4058,GALE LEM AT ARCHER,0,0,0,0,12330,0,12487,0,0,3296,0,0,15294,0,0,9586,0,0,Northbound,Southbound,12330,0.504298,0.495702,0.051906,981,0.769623,0.230377,1025,0.349268,0.650732,Northbound,Southbound,12487.0,0.485064,0.514936,0.12,896,0.774554,0.225446,1066,0.342402,0.657598
POINT (-82.36144477246701 29.63023035119853),CI,4062,SW 23RD TER,2200,0,0,0,10527,0,10230,0,0,2020,0,0,13517,0,0,14872,0,0,Southbound,Northbound,10527,0.490358,0.509642,0.069156,653,0.341501,0.658499,857,0.522754,0.477246,Northbound,Southbound,10230.0,0.510362,0.489638,0.07,650,0.784615,0.215385,851,0.425382,0.574618
POINT (-82.35517503949801 29.61426419387327),CI,4063,SW 23RD TER,4000,0,0,0,5920,0,6632,0,0,6934,0,0,7265,0,0,7485,0,0,Northbound,Southbound,5920,0.482939,0.517061,0.072635,498,0.526104,0.473896,565,0.0,0.0,Northbound,Southbound,6632.0,0.481604,0.518396,0.07,584,0.532534,0.467466,608,0.475329,0.524671
POINT (-82.31467471905611 29.64822534943715),CI,5002,SE 4TH AV,900,0,0,2354,0,2410,0,0,2744,0,0,3493,0,0,4147,0,0,4410,Eastbound,Westbound,2354,0.482583,0.517417,0.08921,241,0.294606,0.705394,220,0.672727,0.327273,Westbound,Eastbound,2410.0,0.544398,0.455602,0.41,229,0.790393,0.209607,236,0.34322,0.65678
POINT (-82.31790928762992 29.648804746611013),CI,5003,SE 7TH ST,300,0,0,1292,0,1243,0,0,1573,0,0,1270,0,0,1284,0,0,1314,Northbound,Southbound,1292,0.50387,0.49613,0.04644,113,0.460177,0.539823,157,0.573248,0.426752,Northbound,Southbound,1243.0,0.473854,0.526146,0.05,108,0.296296,0.703704,135,0.607407,0.392593
POINT (-82.31292439465633 29.64577975481136),CI,5004,SE 7TH AV,1000,0,0,0,2167,0,1924,0,2251,0,0,3074,0,0,3568,0,0,3361,Westbound,Eastbound,2167,0.468851,0.531149,0.137979,226,0.69469,0.30531,205,0.263415,0.736585,Eastbound,Westbound,1924.0,0.543659,0.456341,0.18,176,0.346591,0.653409,219,0.712329,0.287671
POINT (-82.31841144783641 29.63869281260048),CI,5005,SE 4TH ST,1300,0,0,0,2403,0,2877,0,2171,0,0,2833,0,0,2763,0,0,2475,Northbound,Southbound,2403,0.50645,0.49355,0.200166,191,0.685864,0.314136,221,0.402715,0.597285,Northbound,Southbound,2877.0,0.494612,0.505388,0.05,183,0.655738,0.344262,252,0.384921,0.615079
POINT (-82.31476127423225 29.651588570942547),CI,5006,SE 9TH ST,0,0,0,2577,0,2384,0,0,2138,0,0,3701,0,0,3445,0,0,2420,Northbound,Southbound,2577,0.538223,0.461777,0.069073,218,0.495413,0.504587,288,0.555556,0.444444,Northbound,Southbound,2384.0,0.502517,0.497483,0.06,192,0.4375,0.5625,263,0.585551,0.414449
POINT (-82.32360551299179 29.64497779841882),CI,5007,SE DEPOT AV,100,0,0,0,5777,0,4018,0,0,0,0,7173,0,0,7785,0,0,6718,Eastbound,Westbound,5777,0.532629,0.467371,0.11113,579,0.445596,0.554404,552,0.559783,0.440217,Westbound,Eastbound,4018.0,0.77551,0.22449,0.24,421,0.781473,0.218527,375,0.853333,0.146667
POINT (-82.32241892438341 29.651576485916397),CI,5011,SE 3RD ST,0,0,0,0,0,4799,0,0,0,4218,0,0,5176,0,0,5183,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,4799.0,0.50323,0.49677,0.07,337,0.379822,0.620178,472,0.572034,0.427966
POINT (-82.32233287654857 29.64817826345376),CI,5012,SE 3RD ST,400,0,0,0,3373,0,4213,0,3699,0,0,3285,0,0,3012,0,0,3256,Northbound,Southbound,3373,0.45627,0.54373,0.137267,276,0.449275,0.550725,332,0.48494,0.51506,Northbound,Southbound,4213.0,0.441253,0.558747,0.14,367,0.430518,0.569482,392,0.502551,0.497449
