INTERSECT,Period,Time,EB_L,EB_Th,EB_R,WB_L,WB_Th,WB_R,NB_L,NB_Th,NB_R,SB_L,SB_Th,SB_R,Delay_s_veh,LOS,Max_green_EBL,Max_green_EBT,Max_green_WBL,Max_green_WBT,Max_green_NBL,Max_green_NBT,Max_green_SBL,Max_green_SBT,Yellow_duration,Min_green_EBL,Min_green_EBT,Min_green_WBL,Min_green_WBT,Min_green_NBL,Min_green_NBT,Min_green_SBL,Min_green_SBT,Ped_clearence_EW,Ped_clearence_NS,Receive_lanes_EB,Receive_lanes_WB,Receive_lanes_NB,Receive_lanes_SB,Num_lanes_EB,Num_lanes_WB,Num_lanes_NB,Num_lanes_SB,Year,Timestamp,Total_Vol,EW_Vol,NS_Vol,EW_to_NS,Green_EW,Green_to_Demand_EW,Ped_Load,High_Delay
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,442,399,43,9.279069767441861,45.0,0.11278195488721804,39,0
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,471,419,52,8.057692307692308,45.0,0.10739856801909307,39,0
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,466,416,50,8.32,45.0,0.10817307692307693,39,0
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,528,454,74,6.135135135135135,45.0,0.09911894273127753,39,0
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,543,474,69,6.869565217391305,45.0,0.0949367088607595,39,0
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,538,466,72,6.472222222222222,45.0,0.09656652360515021,39,0
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,607,534,73,7.315068493150685,45.0,0.08426966292134831,39,0
W Univ and 13th Street,AM peak,0730–0745,17,109,47,28,132,29,24,170,51,18,263,54,49.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,942,362,580,0.6241379310344828,35.0,0.09668508287292818,46,0
W Univ and 13th Street,AM peak,0745–0800,20,109,47,30,131,29,23,177,53,18,208,43,49.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,888,366,522,0.7011494252873564,35.0,0.09562841530054644,46,0
W Univ and 13th Street,AM peak,0800–0815,20,100,43,33,112,25,26,176,53,28,219,45,49.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,880,333,547,0.6087751371115173,35.0,0.10510510510510511,46,0
W Univ and 13th Street,AM peak,0815–0830,17,107,46,30,108,24,25,146,44,37,227,47,49.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,858,332,526,0.6311787072243346,35.0,0.10542168674698796,46,0
W Univ and 13th Street,Off-peak,1200–1215,30,95,41,32,93,20,43,167,50,28,99,20,40.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,718,311,407,0.7641277641277642,35.0,0.11254019292604502,46,0
W Univ and 13th Street,Off-peak,1215–1230,26,96,41,29,91,20,42,165,50,27,112,23,40.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,722,303,419,0.7231503579952268,35.0,0.11551155115511551,46,0
W Univ and 13th Street,Off-peak,1230–1245,30,94,41,31,98,22,46,161,48,23,116,24,40.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,734,316,418,0.7559808612440191,35.0,0.11075949367088607,46,0
W Univ and 13th Street,Off-peak,1245–1300,28,102,44,32,95,21,50,178,53,29,122,25,40.8,D,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,779,322,457,0.7045951859956237,35.0,0.10869565217391304,46,0
W Univ and 13th Street,PM peak,1630–1645,41,121,52,26,105,23,49,257,77,19,113,23,61.5,E,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,906,368,538,0.6840148698884758,35.0,0.09510869565217392,46,1
W Univ and 13th Street,PM peak,1645–1700,36,127,54,20,102,21,43,264,79,13,125,25,61.5,E,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,909,360,549,0.6557377049180327,35.0,0.09722222222222222,46,1
W Univ and 13th Street,PM peak,1700–1715,40,134,58,29,114,25,44,241,72,19,108,27,61.5,E,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,911,400,511,0.7827788649706457,35.0,0.0875,46,1
W Univ and 13th Street,PM peak,1715–1730,46,126,54,28,93,21,36,275,82,19,122,25,61.5,E,25.0,45,25.0,45,30.0,70,25.0,55.0,3.7,7.0,12,7.0,12,7.0,12,7.0,12.0,23,23,2,2,2.0,2.0,4,3,3,3.0,2014,,927,368,559,0.6583184257602862,35.0,0.09510869565217392,46,1
SW 8th Ave and 13 St,AM peak,0730–0745,68,39,5,17,39,4,115,144,11,20,284,32,31.8,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,778,172,606,0.2838283828382838,30.0,0.1744186046511628,40,0
SW 8th Ave and 13 St,AM peak,0745–0800,76,37,4,22,37,4,123,147,11,16,293,33,31.8,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,803,180,623,0.28892455858747995,30.0,0.16666666666666666,40,0
SW 8th Ave and 13 St,AM peak,0800–0815,64,37,4,19,37,4,112,136,12,17,262,29,31.8,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,733,165,568,0.2904929577464789,30.0,0.18181818181818182,40,0
SW 8th Ave and 13 St,AM peak,0815–0830,44,38,4,18,38,4,93,118,10,16,232,30,31.8,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,645,146,499,0.2925851703406814,30.0,0.2054794520547945,40,0
SW 8th Ave and 13 St,Off-peak,1200–1215,37,31,3,21,31,3,95,122,10,16,212,24,28.1,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,605,126,479,0.2630480167014614,30.0,0.23809523809523808,40,0
SW 8th Ave and 13 St,Off-peak,1215–1230,33,34,4,18,34,3,94,134,11,15,205,23,28.1,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,608,126,482,0.26141078838174275,30.0,0.23809523809523808,40,0
SW 8th Ave and 13 St,Off-peak,1230–1245,37,41,5,19,41,5,97,135,11,17,230,26,28.1,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,664,148,516,0.2868217054263566,30.0,0.20270270270270271,40,0
SW 8th Ave and 13 St,Off-peak,1245–1300,40,29,3,23,29,3,92,128,11,15,235,26,28.1,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,634,127,507,0.2504930966469428,30.0,0.23622047244094488,40,0
SW 8th Ave and 13 St,PM peak,1630–1645,32,18,2,19,32,2,119,157,13,17,275,31,26.9,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,717,105,612,0.1715686274509804,30.0,0.2857142857142857,40,0
SW 8th Ave and 13 St,PM peak,1645–1700,26,17,2,23,17,2,107,147,13,15,252,28,26.9,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,649,87,562,0.15480427046263345,30.0,0.3448275862068966,40,0
SW 8th Ave and 13 St,PM peak,1700–1715,24,16,2,16,16,2,123,154,14,16,305,34,26.9,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,722,76,646,0.11764705882352941,30.0,0.39473684210526316,40,0
SW 8th Ave and 13 St,PM peak,1715–1730,17,12,1,18,12,1,83,126,13,17,276,31,26.9,C,25.0,35,25.0,35,25.0,70,25.0,65.0,3.4,7.0,4,5.0,4,5.0,12,5.0,12.0,22,18,1,1,2.0,2.0,4,3,3,3.0,2014,,607,61,546,0.11172161172161173,30.0,0.4918032786885246,40,0
Archer Road and 13th St,AM peak,0730–0745,118,33,7,15,57,6,18,143,7,6,217,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,640,236,404,0.5841584158415841,60.0,0.2542372881355932,61,0
Archer Road and 13th St,AM peak,0745–0800,140,25,5,16,53,6,20,171,9,7,236,14,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,702,245,457,0.5361050328227571,60.0,0.24489795918367346,61,0
Archer Road and 13th St,AM peak,0800–0815,131,20,4,13,48,5,19,168,9,5,227,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,662,221,441,0.5011337868480725,60.0,0.27149321266968324,61,0
Archer Road and 13th St,AM peak,0815–0830,106,20,4,9,43,5,18,127,7,4,190,11,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,544,187,357,0.5238095238095238,60.0,0.32085561497326204,61,0
Archer Road and 13th St,Off-peak,1200–1215,112,12,3,6,21,2,14,136,6,4,184,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,512,156,356,0.43820224719101125,60.0,0.38461538461538464,61,0
Archer Road and 13th St,Off-peak,1215–1230,107,31,6,6,26,3,14,107,6,8,176,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,502,179,323,0.5541795665634675,60.0,0.33519553072625696,61,0
Archer Road and 13th St,Off-peak,1230–1245,108,31,6,8,29,3,13,114,6,5,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,540,185,355,0.5211267605633803,60.0,0.32432432432432434,61,0
Archer Road and 13th St,Off-peak,1245–1300,108,31,6,7,30,3,14,112,6,9,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,543,185,358,0.5167597765363129,60.0,0.32432432432432434,61,0
Archer Road and 13th St,PM peak,1630–1645,150,67,13,10,23,3,13,146,6,7,285,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,743,266,477,0.5576519916142557,60.0,0.22556390977443608,61,0
Archer Road and 13th St,PM peak,1645–1700,139,61,12,10,30,3,10,113,9,9,263,18,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,677,255,422,0.6042654028436019,60.0,0.23529411764705882,61,0
Archer Road and 13th St,PM peak,1700–1715,144,69,14,12,24,3,13,139,8,11,260,22,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,719,266,453,0.58719646799117,60.0,0.22556390977443608,61,0
Archer Road and 13th St,PM peak,1715–1730,142,73,15,14,28,3,14,122,7,8,247,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,693,275,418,0.6578947368421053,60.0,0.21818181818181817,61,0
Archer Road and 34th St,AM peak,0730–0745,68,392,26,26,145,41,28,156,35,78,100,32,55.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1127,698,429,1.627039627039627,62.5,0.08954154727793696,88,0
Archer Road and 34th St,AM peak,0745–0800,67,333,20,21,165,47,32,159,38,67,90,29,55.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1068,653,415,1.5734939759036144,62.5,0.09571209800918837,88,0
Archer Road and 34th St,AM peak,0800–0815,73,306,15,19,151,43,30,142,36,67,117,34,55.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1033,607,426,1.4248826291079812,62.5,0.10296540362438221,88,0
Archer Road and 34th St,AM peak,0815–0830,65,319,18,21,137,39,32,124,27,68,85,24,55.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,959,599,360,1.663888888888889,62.5,0.10434056761268781,88,0
Archer Road and 34th St,Off-peak,1200–1215,61,216,15,46,273,77,64,119,25,64,156,45,62.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1161,688,473,1.4545454545454546,62.5,0.09084302325581395,88,1
Archer Road and 34th St,Off-peak,1215–1230,74,280,19,32,223,63,50,107,23,64,132,42,62.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1109,691,418,1.6531100478468899,62.5,0.09044862518089725,88,1
Archer Road and 34th St,Off-peak,1230–1245,72,268,19,39,251,71,53,115,24,56,127,38,62.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1133,720,413,1.7433414043583535,62.5,0.08680555555555555,88,1
Archer Road and 34th St,Off-peak,1245–1300,71,268,18,36,205,58,50,125,27,64,153,41,62.7,E,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1116,656,460,1.4260869565217391,62.5,0.09527439024390244,88,1
Archer Road and 34th St,PM peak,1630–1645,59,221,17,45,454,129,51,146,28,48,148,45,91.0,F,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1391,925,466,1.9849785407725322,62.5,0.06756756756756757,88,1
Archer Road and 34th St,PM peak,1645–1700,47,201,14,45,459,130,42,128,28,63,180,55,91.0,F,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1392,896,496,1.8064516129032258,62.5,0.06975446428571429,88,1
Archer Road and 34th St,PM peak,1700–1715,58,166,9,49,396,112,53,134,31,54,189,57,91.0,F,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1308,790,518,1.5250965250965252,62.5,0.07911392405063292,88,1
Archer Road and 34th St,PM peak,1715–1730,62,196,12,41,384,109,51,143,32,54,180,59,91.0,F,35.0,90,25.0,90,35.0,45,45.0,60.0,5.0,7.0,4,7.0,4,7.0,12,7.0,12.0,47,41,3,3,3.0,3.0,5,5,5,5.0,2014,,1323,804,519,1.5491329479768785,62.5,0.07773631840796019,88,1
